id,farmer_id,farmer_name,animal_id,vaccine_type,village,block,district,date,notes,vet_id,created_at
"0000233b-0000-4000-a000-c0de00000000233b","000003fd-0000-4000-a000-f00f0000000003fd","Baban Gawade","BUF-6414","FMD","Takali Dhokeshwar","Parner","Ahmednagar","2026-07-06","FMD primary dose","0000138d-0000-4000-a000-beef00000000138d","2026-08-23T16:36:11.487Z"
"0000233f-0000-4000-a000-c0de00000000233f","000003ff-0000-4000-a000-f00f0000000003ff","Ramesh Pardhi","BOV-7748","mastitis","Hiware Bazar","Parner","Ahmednagar","2026-07-05","Mastitis booster","0000138e-0000-4000-a000-beef00000000138e","2026-08-23T16:36:11.487Z"
"0000233c-0000-4000-a000-c0de00000000233c","000003fb-0000-4000-a000-f00f0000000003fb","Vijay Ghule","GOAT-6717","anthrax","Kolhewadi","Sangamner","Ahmednagar","2026-06-29","Anthrax spore vaccine","00001388-0000-4000-a000-beef000000001388","2026-08-23T16:36:11.487Z"
"00002350-0000-4000-a000-c0de000000002350","000003f6-0000-4000-a000-f00f0000000003f6","Ganesh Pawar","GOAT-4462","anthrax","Hiware Bazar","Parner","Ahmednagar","2026-06-28","Anthrax booster dose","0000138d-0000-4000-a000-beef00000000138d","2026-08-23T16:36:11.487Z"
"0000235a-0000-4000-a000-c0de00000000235a","000007f0-0000-4000-a000-f00f0000000007f0","Prakash Mhaske","BOV-2573","brucellosis","Kolhewadi","Sangamner","Ahmednagar","2026-06-24","Brucella annual dose","0000138a-0000-4000-a000-beef00000000138a","2026-08-23T16:36:11.488Z"
"0000233e-0000-4000-a000-c0de00000000233e","000003fb-0000-4000-a000-f00f0000000003fb","Vijay Ghule","GOAT-7037","anthrax","Kolhewadi","Sangamner","Ahmednagar","2026-06-16","Anthrax spore vaccine","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"0000232e-0000-4000-a000-c0de00000000232e","000003f6-0000-4000-a000-f00f0000000003f6","Ganesh Pawar","BOV-3252","anthrax","Hiware Bazar","Parner","Ahmednagar","2026-06-14","Anthrax booster dose","","2026-08-23T16:36:11.487Z"
"00002344-0000-4000-a000-c0de000000002344","000007f0-0000-4000-a000-f00f0000000007f0","Prakash Mhaske","BUF-3485","mastitis","Kolhewadi","Sangamner","Ahmednagar","2026-06-10","Mastitis booster","0000138a-0000-4000-a000-beef00000000138a","2026-08-23T16:36:11.487Z"
"0000235b-0000-4000-a000-c0de00000000235b","00000403-0000-4000-a000-f00f000000000403","Ashok Pardhi","BOV-5155","anthrax","Ralegan Siddhi","Parner","Ahmednagar","2026-06-08","Anthrax spore vaccine","00001388-0000-4000-a000-beef000000001388","2026-08-23T16:36:11.488Z"
"00002330-0000-4000-a000-c0de000000002330","000003f2-0000-4000-a000-f00f0000000003f2","Shankar Bankar","BOV-5644","FMD","Takali Dhokeshwar","Parner","Ahmednagar","2026-06-06","Annual FMD vaccination","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"00002329-0000-4000-a000-c0de000000002329","000003f8-0000-4000-a000-f00f0000000003f8","Prakash Kharat","GOAT-7161","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-06-04","Annual FMD vaccination","0000138a-0000-4000-a000-beef00000000138a","2026-08-23T16:36:11.487Z"
"0000234d-0000-4000-a000-c0de00000000234d","000003e9-0000-4000-a000-f00f0000000003e9","Suresh Mhaske","BUF-1653","mastitis","Ralegan Siddhi","Parner","Ahmednagar","2026-06-04","Mastitis booster","0000138c-0000-4000-a000-beef00000000138c","2026-08-23T16:36:11.487Z"
"00002363-0000-4000-a000-c0de000000002363","000003f7-0000-4000-a000-f00f0000000003f7","Bhausaheb Ghule","BUF-9581","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-06-02","Annual FMD vaccination","","2026-08-23T16:36:11.488Z"
"00002342-0000-4000-a000-c0de000000002342","000003f6-0000-4000-a000-f00f0000000003f6","Ganesh Pawar","GOAT-5319","brucellosis","Hiware Bazar","Parner","Ahmednagar","2026-05-30","Brucellosis calfhood vaccination","00001388-0000-4000-a000-beef000000001388","2026-08-23T16:36:11.487Z"
"00002343-0000-4000-a000-c0de000000002343","000007ef-0000-4000-a000-f00f0000000007ef","Ramesh Gholap","BOV-9034","FMD","Kolhewadi","Sangamner","Ahmednagar","2026-05-30","Foot and Mouth Disease booster","0000138c-0000-4000-a000-beef00000000138c","2026-08-23T16:36:11.487Z"
"00002353-0000-4000-a000-c0de000000002353","000003f4-0000-4000-a000-f00f0000000003f4","Tukaram Kale","BOV-4650","mastitis","Ralegan Siddhi","Parner","Ahmednagar","2026-05-30","Mastitis prevention protocol","0000138a-0000-4000-a000-beef00000000138a","2026-08-23T16:36:11.488Z"
"00002328-0000-4000-a000-c0de000000002328","000003fc-0000-4000-a000-f00f0000000003fc","Baban Gholap","GOAT-1128","brucellosis","Ralegan Siddhi","Parner","Ahmednagar","2026-05-28","Brucellosis S19 strain","0000138d-0000-4000-a000-beef00000000138d","2026-08-23T16:36:11.487Z"
"0000232c-0000-4000-a000-c0de00000000232c","00000403-0000-4000-a000-f00f000000000403","Ashok Pardhi","BUF-4147","mastitis","Ralegan Siddhi","Parner","Ahmednagar","2026-05-28","Quarter-wise mastitis vaccine","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.487Z"
"00002364-0000-4000-a000-c0de000000002364","000003f4-0000-4000-a000-f00f0000000003f4","Tukaram Kale","GOAT-6076","brucellosis","Ralegan Siddhi","Parner","Ahmednagar","2026-05-26","Brucella annual dose","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.488Z"
"00002360-0000-4000-a000-c0de000000002360","000003ee-0000-4000-a000-f00f0000000003ee","Namdev Ghule","GOAT-6974","FMD","Takali Dhokeshwar","Parner","Ahmednagar","2026-05-23","Annual FMD vaccination","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.488Z"
"00002351-0000-4000-a000-c0de000000002351","000003f7-0000-4000-a000-f00f0000000003f7","Bhausaheb Ghule","BUF-9530","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-05-16","Foot and Mouth Disease booster","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.488Z"
"00002347-0000-4000-a000-c0de000000002347","000003f3-0000-4000-a000-f00f0000000003f3","Ramesh Jadhav","GOAT-7735","anthrax","Takali Dhokeshwar","Parner","Ahmednagar","2026-05-14","Anthrax spore vaccine","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.487Z"
"00002356-0000-4000-a000-c0de000000002356","00000403-0000-4000-a000-f00f000000000403","Ashok Pardhi","BUF-8182","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-05-11","FMD primary dose","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.488Z"
"0000235c-0000-4000-a000-c0de00000000235c","000003f1-0000-4000-a000-f00f0000000003f1","Suresh Autade","GOAT-4426","mastitis","Ralegan Siddhi","Parner","Ahmednagar","2026-05-01","Quarter-wise mastitis vaccine","0000138c-0000-4000-a000-beef00000000138c","2026-08-23T16:36:11.488Z"
"0000234b-0000-4000-a000-c0de00000000234b","000007f0-0000-4000-a000-f00f0000000007f0","Prakash Mhaske","BUF-5768","mastitis","Kolhewadi","Sangamner","Ahmednagar","2026-04-30","Quarter-wise mastitis vaccine","0000138c-0000-4000-a000-beef00000000138c","2026-08-23T16:36:11.487Z"
"0000234e-0000-4000-a000-c0de00000000234e","000003f0-0000-4000-a000-f00f0000000003f0","Kisan Darade","BOV-5019","brucellosis","Takali Dhokeshwar","Parner","Ahmednagar","2026-04-29","Brucella annual dose","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"00002354-0000-4000-a000-c0de000000002354","000003f6-0000-4000-a000-f00f0000000003f6","Ganesh Pawar","GOAT-1768","mastitis","Hiware Bazar","Parner","Ahmednagar","2026-04-26","Mastitis booster","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.488Z"
"00002359-0000-4000-a000-c0de000000002359","000003f4-0000-4000-a000-f00f0000000003f4","Tukaram Kale","BUF-9908","anthrax","Ralegan Siddhi","Parner","Ahmednagar","2026-04-24","Anthrax spore vaccine","0000138e-0000-4000-a000-beef00000000138e","2026-08-23T16:36:11.488Z"
"00002362-0000-4000-a000-c0de000000002362","000003f3-0000-4000-a000-f00f0000000003f3","Ramesh Jadhav","GOAT-6701","mastitis","Takali Dhokeshwar","Parner","Ahmednagar","2026-04-24","Mastitis prevention protocol","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.488Z"
"0000232b-0000-4000-a000-c0de00000000232b","000003ed-0000-4000-a000-f00f0000000003ed","Tukaram Darade","GOAT-1756","anthrax","Hiware Bazar","Parner","Ahmednagar","2026-04-10","Anthrax annual preventive","","2026-08-23T16:36:11.487Z"
"00002355-0000-4000-a000-c0de000000002355","000003ef-0000-4000-a000-f00f0000000003ef","Ganesh Kale","GOAT-1477","mastitis","Ralegan Siddhi","Parner","Ahmednagar","2026-04-08","Mastitis prevention protocol","0000138c-0000-4000-a000-beef00000000138c","2026-08-23T16:36:11.488Z"
"00002337-0000-4000-a000-c0de000000002337","000007f0-0000-4000-a000-f00f0000000007f0","Prakash Mhaske","GOAT-6047","anthrax","Kolhewadi","Sangamner","Ahmednagar","2026-03-25","Anthrax annual preventive","00001388-0000-4000-a000-beef000000001388","2026-08-23T16:36:11.487Z"
"00002333-0000-4000-a000-c0de000000002333","00000405-0000-4000-a000-f00f000000000405","Sunil Ghule","GOAT-7746","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-03-23","Annual FMD vaccination","0000138e-0000-4000-a000-beef00000000138e","2026-08-23T16:36:11.487Z"
"0000233d-0000-4000-a000-c0de00000000233d","000003f6-0000-4000-a000-f00f0000000003f6","Ganesh Pawar","BOV-3545","mastitis","Hiware Bazar","Parner","Ahmednagar","2026-03-20","Mastitis booster","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"0000232f-0000-4000-a000-c0de00000000232f","000003eb-0000-4000-a000-f00f0000000003eb","Eknath Pawar","GOAT-5162","anthrax","Takali Dhokeshwar","Parner","Ahmednagar","2026-03-15","Anthrax booster dose","","2026-08-23T16:36:11.487Z"
"00002345-0000-4000-a000-c0de000000002345","000003f3-0000-4000-a000-f00f0000000003f3","Ramesh Jadhav","BOV-1484","mastitis","Takali Dhokeshwar","Parner","Ahmednagar","2026-03-14","Mastitis booster","0000138c-0000-4000-a000-beef00000000138c","2026-08-23T16:36:11.487Z"
"00002335-0000-4000-a000-c0de000000002335","000003e9-0000-4000-a000-f00f0000000003e9","Suresh Mhaske","GOAT-1420","brucellosis","Ralegan Siddhi","Parner","Ahmednagar","2026-03-13","Brucellosis S19 strain","0000138b-0000-4000-a000-beef00000000138b","2026-08-23T16:36:11.487Z"
"00002331-0000-4000-a000-c0de000000002331","000003fc-0000-4000-a000-f00f0000000003fc","Baban Gholap","BOV-3961","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-03-11","Annual FMD vaccination","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"00002332-0000-4000-a000-c0de000000002332","000003fb-0000-4000-a000-f00f0000000003fb","Vijay Ghule","BOV-2803","brucellosis","Kolhewadi","Sangamner","Ahmednagar","2026-03-09","Brucellosis S19 strain","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.487Z"
"00002346-0000-4000-a000-c0de000000002346","00000406-0000-4000-a000-f00f000000000406","Ramesh Kale","BOV-3596","anthrax","Takali Dhokeshwar","Parner","Ahmednagar","2026-03-02","Anthrax annual preventive","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"00002340-0000-4000-a000-c0de000000002340","000003ff-0000-4000-a000-f00f0000000003ff","Ramesh Pardhi","BOV-5332","anthrax","Hiware Bazar","Parner","Ahmednagar","2026-02-27","Anthrax annual preventive","0000138a-0000-4000-a000-beef00000000138a","2026-08-23T16:36:11.487Z"
"00002358-0000-4000-a000-c0de000000002358","000003ff-0000-4000-a000-f00f0000000003ff","Ramesh Pardhi","BOV-2100","FMD","Hiware Bazar","Parner","Ahmednagar","2026-02-27","Foot and Mouth Disease booster","0000138c-0000-4000-a000-beef00000000138c","2026-08-23T16:36:11.488Z"
"0000232d-0000-4000-a000-c0de00000000232d","000003f9-0000-4000-a000-f00f0000000003f9","Sanjay Bankar","BUF-7574","mastitis","Kolhewadi","Sangamner","Ahmednagar","2026-02-26","Mastitis booster","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.487Z"
